Cell ID	Short name	Plate	Condition
I_D10_S238_R1_001	I_D10	I	OD 0.3
I_D11_S239_R1_001	I_D11	I	OD 0.3
I_D12_S240_R1_001	I_D12	I	OD 0.3
I_E10_S250_R1_001	I_E10	I	OD 0.3
I_E11_S251_R1_001	I_E11	I	OD 0.3
I_E12_S252_R1_001	I_E12	I	OD 0.3
I_F10_S262_R1_001	I_F10	I	OD 0.3
I_F11_S263_R1_001	I_F11	I	OD 0.3
I_F12_S264_R1_001	I_F12	I	OD 0.3
I_G10_S274_R1_001	I_G10	I	OD 0.3
I_G11_S275_R1_001	I_G11	I	OD 0.3
I_G12_S276_R1_001	I_G12	I	OD 0.3
I_H10_S286_R1_001	I_H10	I	OD 0.3
I_H11_S287_R1_001	I_H11	I	OD 0.3
I_H12_S288_R1_001	I_H12	I	OD 0.3
II_A7_S295_R1_001	II_A7	II	OD 0.3
II_A8_S296_R1_001	II_A8	II	OD 0.3
II_A9_S297_R1_001	II_A9	II	OD 0.3
II_B7_S307_R1_001	II_B7	II	OD 0.3
II_B8_S308_R1_001	II_B8	II	OD 0.3
II_B9_S309_R1_001	II_B9	II	OD 0.3
II_C7_S319_R1_001	II_C7	II	OD 0.3
II_C8_S320_R1_001	II_C8	II	OD 0.3
II_C9_S321_R1_001	II_C9	II	OD 0.3
II_D7_S331_R1_001	II_D7	II	OD 0.3
II_D8_S332_R1_001	II_D8	II	OD 0.3
II_D9_S333_R1_001	II_D9	II	OD 0.3
II_E7_S343_R1_001	II_E7	II	OD 0.3
II_E8_S344_R1_001	II_E8	II	OD 0.3
II_E9_S345_R1_001	II_E9	II	OD 0.3
II_F7_S355_R1_001	II_F7	II	OD 0.3
II_F8_S356_R1_001	II_F8	II	OD 0.3
II_F9_S357_R1_001	II_F9	II	OD 0.3
II_G7_S367_R1_001	II_G7	II	OD 0.3
II_G8_S368_R1_001	II_G8	II	OD 0.3
II_G9_S369_R1_001	II_G9	II	OD 0.3
II_H7_S379_R1_001	II_H7	II	OD 0.3
II_H8_S380_R1_001	II_H8	II	OD 0.3
II_H9_S381_R1_001	II_H9	II	OD 0.3
III_A4_S4_R1_001	III_A4	III	OD 0.3
III_A5_S5_R1_001	III_A5	III	OD 0.3
III_A6_S6_R1_001	III_A6	III	OD 0.3
III_B4_S16_R1_001	III_B4	III	OD 0.3
III_B5_S17_R1_001	III_B5	III	OD 0.3
III_B6_S18_R1_001	III_B6	III	OD 0.3
III_C4_S28_R1_001	III_C4	III	OD 0.3
III_C5_S29_R1_001	III_C5	III	OD 0.3
III_C6_S30_R1_001	III_C6	III	OD 0.3
III_D4_S40_R1_001	III_D4	III	OD 0.3
III_D5_S41_R1_001	III_D5	III	OD 0.3
III_D6_S42_R1_001	III_D6	III	OD 0.3
III_E4_S52_R1_001	III_E4	III	OD 0.3
III_E5_S53_R1_001	III_E5	III	OD 0.3
III_E6_S54_R1_001	III_E6	III	OD 0.3
III_F4_S64_R1_001	III_F4	III	OD 0.3
III_F5_S65_R1_001	III_F5	III	OD 0.3
III_F6_S66_R1_001	III_F6	III	OD 0.3
III_G4_S76_R1_001	III_G4	III	OD 0.3
III_G5_S77_R1_001	III_G5	III	OD 0.3
III_G6_S78_R1_001	III_G6	III	OD 0.3
III_H4_S88_R1_001	III_H4	III	OD 0.3
III_H5_S89_R1_001	III_H5	III	OD 0.3
III_H6_S90_R1_001	III_H6	III	OD 0.3
IV_A1_S97_R1_001	IV_A1	IV	OD 0.3
IV_A2_S98_R1_001	IV_A2	IV	OD 0.3
IV_A3_S99_R1_001	IV_A3	IV	OD 0.3
IV_B1_S109_R1_001	IV_B1	IV	OD 0.3
IV_B2_S110_R1_001	IV_B2	IV	OD 0.3
IV_B3_S111_R1_001	IV_B3	IV	OD 0.3
IV_C1_S121_R1_001	IV_C1	IV	OD 0.3
IV_C2_S122_R1_001	IV_C2	IV	OD 0.3
IV_C3_S123_R1_001	IV_C3	IV	OD 0.3
IV_D1_S133_R1_001	IV_D1	IV	OD 0.3
IV_D2_S134_R1_001	IV_D2	IV	OD 0.3
IV_D3_S135_R1_001	IV_D3	IV	OD 0.3
IV_E1_S145_R1_001	IV_E1	IV	OD 0.3
IV_E2_S146_R1_001	IV_E2	IV	OD 0.3
IV_E3_S147_R1_001	IV_E3	IV	OD 0.3
IV_F1_S157_R1_001	IV_F1	IV	OD 0.3
IV_F2_S158_R1_001	IV_F2	IV	OD 0.3
IV_F3_S159_R1_001	IV_F3	IV	OD 0.3
IV_G1_S169_R1_001	IV_G1	IV	OD 0.3
IV_G2_S170_R1_001	IV_G2	IV	OD 0.3
IV_G3_S171_R1_001	IV_G3	IV	OD 0.3
IV_H1_S181_R1_001	IV_H1	IV	OD 0.3
IV_H2_S182_R1_001	IV_H2	IV	OD 0.3
IV_H3_S183_R1_001	IV_H3	IV	OD 0.3
